function,backend,samples,mean_abs_err,max_abs_err,containment_rate,mean_width,time_ms,notes,sweep_sample,sweep_seed,wall_s,peak_rss_mb,run_dir
cos,boost,64,3.05893e-13,4.99045e-13,1,,6.73104,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
exp,c_arb,64,,,,3.31241e-06,0.066006,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
exp,jax_basic,64,6.59195e-17,8.88178e-16,0,3.31241e-06,0.259779,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
exp,jax_adaptive,64,8.28121e-13,3.23386e-12,0,3.31241e-06,0.357778,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
exp,jax_rigorous,64,8.28121e-13,3.23386e-12,0,3.31241e-06,0.331413,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
exp,scipy,64,8.28106e-13,3.23386e-12,1,,0.003264,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
exp,jax_point,64,8.28121e-13,3.23386e-12,1,,0.147329,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
exp,mpmath,64,8.28106e-13,3.23386e-12,1,,0.434555,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
exp,boost,64,8.28106e-13,3.23386e-12,1,,6.31355,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
sin,c_arb,64,,,,1.23051e-06,0.064804,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
sin,jax_basic,64,6.89553e-17,2.22045e-16,0,1.23051e-06,0.242278,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
sin,jax_adaptive,64,3.30182e-13,4.99822e-13,0,1.23051e-06,0.240077,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
