function,backend,samples,mean_abs_err,max_abs_err,containment_rate,mean_width,time_ms,notes,sweep_sample,sweep_seed,wall_s,peak_rss_mb,run_dir
log,c_arb,64,,,,1.95155e-06,0.083608,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
log,jax_basic,64,3.68629e-17,2.22045e-16,0,1.95155e-06,3.34348,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
log,jax_adaptive,64,1.14125e-12,2.26745e-11,0,1.95155e-06,2.2503,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
log,jax_rigorous,64,1.14125e-12,2.26745e-11,0,1.95155e-06,2.30779,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
log,scipy,64,1.14125e-12,2.26745e-11,1,,0.005627,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
log,jax_point,64,1.14125e-12,2.26745e-11,1,,2.05053,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
log,mpmath,64,1.14125e-12,2.26745e-11,1,,1.25736,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
log,boost,64,1.14125e-12,2.26745e-11,1,,7.83786,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
sinh,c_arb,64,,,,3.61059e-06,0.079283,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
sinh,jax_basic,64,2.94903e-17,4.44089e-16,0,3.61059e-06,3.20881,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
sinh,jax_adaptive,64,6.88116e-13,1.65068e-12,0,3.61059e-06,1.96291,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
sinh,jax_rigorous,64,6.88116e-13,1.65068e-12,0,3.61059e-06,1.95162,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
sinh,scipy,64,6.88125e-13,1.65068e-12,1,,0.006519,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
sinh,jax_point,64,6.88116e-13,1.65068e-12,1,,8.36098,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
sinh,mpmath,64,6.88102e-13,1.65024e-12,1,,0.590242,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
sinh,boost,64,6.88125e-13,1.65068e-12,1,,8.68094,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
tan,c_arb,64,,,,3.35214e-06,0.079351,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
tan,jax_basic,64,5.9848e-17,4.44089e-16,0,3.35214e-06,2.35068,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
tan,jax_adaptive,64,1.44474e-12,4.35008e-12,0,3.35215e-06,1.94058,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
tan,jax_rigorous,64,1.44474e-12,4.35008e-12,0,3.35215e-06,3.07523,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
tan,scipy,64,1.44469e-12,4.34985e-12,1,,0.005259,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
tan,jax_point,64,1.44474e-12,4.35008e-12,1,,6.71666,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
tan,mpmath,64,1.44469e-12,4.34985e-12,1,,1.35791,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
tan,boost,64,1.44469e-12,4.34985e-12,1,,7.54859,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
cosh,c_arb,64,,,,2.772e-06,0.15466,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
cosh,jax_basic,64,1.73472e-17,8.88178e-16,0,2.772e-06,4.0831,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
cosh,jax_adaptive,64,9.09751e-13,1.86162e-12,0,2.772e-06,7.70027,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
cosh,jax_rigorous,64,9.09751e-13,1.86162e-12,0,2.772e-06,2.68681,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
cosh,scipy,64,9.09741e-13,1.86162e-12,1,,0.006348,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
cosh,jax_point,64,9.09751e-13,1.86162e-12,1,,2.72827,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
cosh,mpmath,64,9.09734e-13,1.86118e-12,1,,2.51983,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
cosh,boost,64,9.09741e-13,1.86162e-12,1,,13.3752,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
tanh,c_arb,64,,,,1.10968e-06,0.310761,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
tanh,jax_basic,64,6.17995e-17,2.22045e-16,0,1.10968e-06,4.78614,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
tanh,jax_adaptive,64,2.46265e-13,3.82916e-13,0,1.10968e-06,3.07656,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
tanh,jax_rigorous,64,2.46265e-13,3.82916e-13,0,1.10968e-06,2.38161,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
tanh,scipy,64,2.46252e-13,3.82916e-13,1,,0.004938,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
tanh,jax_point,64,2.46265e-13,3.82916e-13,1,,7.32342,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
tanh,mpmath,64,2.4626e-13,3.82916e-13,1,,0.626817,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
tanh,boost,64,2.46258e-13,3.82916e-13,1,,8.99301,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
exp,c_arb,64,,,,3.73356e-06,0.096161,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
exp,jax_basic,64,1.23165e-16,1.77636e-15,0,3.73356e-06,3.55591,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
